ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
4.904775732409641265e+00,9.711719800145957038e-01,0.000000000000000000e+00
4.903073252478717059e+00,9.797309226659003389e-01,0.000000000000000000e+00
4.901355836563308976e+00,9.882868831401039333e-01,0.000000000000000000e+00
4.899623489928730535e+00,9.968398351483582776e-01,0.000000000000000000e+00
4.897876217882752847e+00,1.005389752433623274e+00,0.000000000000000000e+00
4.896114025775857748e+00,1.013936608768478242e+00,0.000000000000000000e+00
4.894336919001466057e+00,1.022480377953160602e+00,0.000000000000000000e+00
4.892544902996140088e+00,1.031021033813806609e+00,0.000000000000000000e+00
4.890737983239773712e+00,1.039558550200879949e+00,0.000000000000000000e+00
4.888916165255757562e+00,1.048092900987762199e+00,0.000000000000000000e+00
4.887079454611134466e+00,1.056624060069494053e+00,0.000000000000000000e+00
4.885227856916733558e+00,1.065152001361652445e+00,0.000000000000000000e+00
4.883361377827299954e+00,1.073676698799342688e+00,0.000000000000000000e+00
4.881480023041596894e+00,1.082198126336306965e+00,0.000000000000000000e+00
4.879583798302512321e+00,1.090716257944122081e+00,0.000000000000000000e+00
4.877672709397145923e+00,1.099231067611492918e+00,0.000000000000000000e+00
4.875746762156890846e+00,1.107742529343618720e+00,0.000000000000000000e+00
4.873805962457499419e+00,1.116250617161634429e+00,0.000000000000000000e+00
4.871850316219151544e+00,1.124755305102114411e+00,0.000000000000000000e+00
4.869879829406508875e+00,1.133256567216633703e+00,0.000000000000000000e+00
4.867894508028761891e+00,1.141754377571382095e+00,0.000000000000000000e+00
4.865894358139674303e+00,1.150248710246823958e+00,0.000000000000000000e+00
4.863879385837620362e+00,1.158739539337399371e+00,0.000000000000000000e+00
4.861849597265615941e+00,1.167226838951265666e+00,0.000000000000000000e+00
4.859804998611346960e+00,1.175710583210069382e+00,0.000000000000000000e+00
4.857745596107192476e+00,1.184190746248751314e+00,0.000000000000000000e+00
4.855671396030243336e+00,1.192667302215378422e+00,0.000000000000000000e+00
4.853582404702317277e+00,1.201140225270999728e+00,0.000000000000000000e+00
4.851478628489974909e+00,1.209609489589525078e+00,0.000000000000000000e+00
4.849360073804524163e+00,1.218075069357624773e+00,0.000000000000000000e+00
4.847226747102030053e+00,1.226536938774645202e+00,0.000000000000000000e+00
4.845078654883317348e+00,1.234995072052542220e+00,0.000000000000000000e+00
4.842915803693975896e+00,1.243449443415828526e+00,0.000000000000000000e+00
4.840738200124354407e+00,1.251900027101533919e+00,0.000000000000000000e+00
4.838545850809564897e+00,1.260346797359178650e+00,0.000000000000000000e+00
4.836338762429473803e+00,1.268789728450755216e+00,0.000000000000000000e+00
4.834116941708698434e+00,1.277228794650721921e+00,0.000000000000000000e+00
4.831880395416600749e+00,1.285663970246003096e+00,0.000000000000000000e+00
4.829629130367275813e+00,1.294095229535998204e+00,0.000000000000000000e+00
4.827363153419548247e+00,1.302522546832598049e+00,0.000000000000000000e+00
4.825082471476954460e+00,1.310945896460204985e+00,0.000000000000000000e+00
4.822787091487733768e+00,1.319365252755763995e+00,0.000000000000000000e+00
4.820477020444820404e+00,1.327780590068790900e+00,0.000000000000000000e+00
4.818152265385819533e+00,1.336191882761412986e+00,0.000000000000000000e+00
4.815812833393003700e+00,1.344599105208408529e+00,0.000000000000000000e+00
4.813458731593287077e+00,1.353002231797252319e+00,0.000000000000000000e+00
4.811089967158218350e+00,1.361401236928162728e+00,0.000000000000000000e+00
4.808706547303959411e+00,1.369796095014155224e+00,0.000000000000000000e+00
4.806308479291269364e+00,1.378186780481092999e+00,0.000000000000000000e+00
4.803895770425486766e+00,1.386573267767745588e+00,0.000000000000000000e+00
4.801468428056507420e+00,1.394955531325845932e+00,0.000000000000000000e+00
4.799026459578772830e+00,1.403333545620151446e+00,0.000000000000000000e+00
4.796569872431247106e+00,1.411707285128505296e+00,0.000000000000000000e+00
4.794098674097392987e+00,1.420076724341899910e+00,0.000000000000000000e+00
4.791612872105160292e+00,1.428441837764542255e+00,0.000000000000000000e+00
4.789112474026956612e+00,1.436802599913919565e+00,0.000000000000000000e+00
4.786597487479635760e+00,1.445158985320867062e+00,0.000000000000000000e+00
4.784067920124466688e+00,1.453510968529635683e+00,0.000000000000000000e+00
4.781523779667118390e+00,1.461858524097962020e+00,0.000000000000000000e+00
4.778965073857637691e+00,1.470201626597137157e+00,0.000000000000000000e+00
4.776391810490422607e+00,1.478540250612077944e+00,0.000000000000000000e+00
4.773803997404205468e+00,1.486874370741398721e+00,0.000000000000000000e+00
4.771201642482027161e+00,1.495203961597482145e+00,0.000000000000000000e+00
4.768584753651215813e+00,1.503528997806553136e+00,0.000000000000000000e+00
4.765953338883360146e+00,1.511849454008749483e+00,0.000000000000000000e+00
4.763307406194290827e+00,1.520165304858197564e+00,0.000000000000000000e+00
4.760646963644054708e+00,1.528476525023083843e+00,0.000000000000000000e+00
4.757972019336889957e+00,1.536783089185730145e+00,0.000000000000000000e+00
4.755282581421203858e+00,1.545084972042667371e+00,0.000000000000000000e+00
4.752578658089547048e+00,1.553382148304709887e+00,0.000000000000000000e+00
4.749860257578591316e+00,1.561674592697031017e+00,0.000000000000000000e+00
4.747127388169102069e+00,1.569962279959235874e+00,0.000000000000000000e+00
4.744380058185915239e+00,1.578245184845438853e+00,0.000000000000000000e+00
4.741618275997913301e+00,1.586523282124336909e+00,0.000000000000000000e+00
4.738842050017997742e+00,1.594796546579286378e+00,0.000000000000000000e+00
4.736051388703066856e+00,1.603064953008376925e+00,0.000000000000000000e+00
4.733246300553987318e+00,1.611328476224508588e+00,0.000000000000000000e+00
4.730426794115568434e+00,1.619587091055466388e+00,0.000000000000000000e+00
4.727592877976539931e+00,1.627840772343995823e+00,0.000000000000000000e+00
4.724744560769523538e+00,1.636089494947879031e+00,0.000000000000000000e+00
4.721881851171005451e+00,1.644333233740011391e+00,0.000000000000000000e+00
4.719004757901313241e+00,1.652571963608474803e+00,0.000000000000000000e+00
4.716113289724587432e+00,1.660805659456616734e+00,0.000000000000000000e+00
4.713207455448756633e+00,1.669034296203123491e+00,0.000000000000000000e+00
4.710287263925508228e+00,1.677257848782097938e+00,0.000000000000000000e+00
4.707352724050263504e+00,1.685476292143133659e+00,0.000000000000000000e+00
4.704403844762150122e+00,1.693689601251392229e+00,0.000000000000000000e+00
4.701440635043975469e+00,1.701897751087678046e+00,0.000000000000000000e+00
4.698463103922200013e+00,1.710100716648515373e+00,0.000000000000000000e+00
4.695471260466906216e+00,1.718298472946223399e+00,0.000000000000000000e+00
4.692465113791775444e+00,1.726490995008991280e+00,0.000000000000000000e+00
4.689444673054058654e+00,1.734678257880956087e+00,0.000000000000000000e+00
4.686409947454547975e+00,1.742860236622276737e+00,0.000000000000000000e+00
4.683360946237549172e+00,1.751036906309209940e+00,0.000000000000000000e+00
4.680297678690853225e+00,1.759208242034187242e+00,0.000000000000000000e+00
4.677220154145707909e+00,1.767374218905890082e+00,0.000000000000000000e+00
4.674128381976791147e+00,1.775534812049323286e+00,0.000000000000000000e+00
4.671022371602180812e+00,1.783689996605895223e+00,0.000000000000000000e+00
4.667902132483326305e+00,1.791839747733489085e+00,0.000000000000000000e+00
4.664767674125020136e+00,1.799984040606540603e+00,0.000000000000000000e+00
4.661619006075368610e+00,1.808122850416113980e+00,0.000000000000000000e+00
4.658456137925762519e+00,1.816256152369975396e+00,0.000000000000000000e+00
4.655279079310849610e+00,1.824383921692670496e+00,0.000000000000000000e+00
4.652087839908502609e+00,1.832506133625598777e+00,0.000000000000000000e+00
4.648882429439792574e+00,1.840622763427088637e+00,0.000000000000000000e+00
4.645662857668956924e+00,1.848733786372473098e+00,0.000000000000000000e+00
4.642429134403371016e+00,1.856839177754165959e+00,0.000000000000000000e+00
4.639181269493517945e+00,1.864938912881735300e+00,0.000000000000000000e+00
4.635919272832959237e+00,1.873032967081980082e+00,0.000000000000000000e+00
4.632643154358302873e+00,1.881121315699004537e+00,0.000000000000000000e+00
4.629352924049174867e+00,1.889203934094293214e+00,0.000000000000000000e+00
4.626048591928188181e+00,1.897280797646785810e+00,0.000000000000000000e+00
4.622730168060913414e+00,1.905351881752953780e+00,0.000000000000000000e+00
4.619397662555844164e+00,1.913417161826872714e+00,0.000000000000000000e+00
4.616051085564371270e+00,1.921476613300299396e+00,0.000000000000000000e+00
4.612690447280749950e+00,1.929530211622744851e+00,0.000000000000000000e+00
4.609315757942066938e+00,1.937577932261550506e+00,0.000000000000000000e+00
4.605927027828212950e+00,1.945619750701962580e+00,0.000000000000000000e+00
4.602524267261846269e+00,1.953655642447206464e+00,0.000000000000000000e+00
4.599107486608366990e+00,1.961685583018560886e+00,0.000000000000000000e+00
4.595676696275881490e+00,1.969709547955433404e+00,0.000000000000000000e+00
4.592231906715173118e+00,1.977727512815433908e+00,0.000000000000000000e+00
4.588773128419668446e+00,1.985739453174450997e+00,0.000000000000000000e+00
4.585300371925406182e+00,1.993745344626723925e+00,0.000000000000000000e+00
4.581813647811004309e+00,2.001745162784917653e+00,0.000000000000000000e+00
4.578312966697629882e+00,2.009738883280199229e+00,0.000000000000000000e+00
4.574798339248966172e+00,2.017726481762308843e+00,0.000000000000000000e+00
4.571269776171175359e+00,2.025707933899635105e+00,0.000000000000000000e+00
4.567727288212875436e+00,2.033683215379291198e+00,0.000000000000000000e+00
4.564170886165097585e+00,2.041652301907185496e+00,0.000000000000000000e+00
4.560600580861259523e+00,2.049615169208098386e+00,0.000000000000000000e+00
4.557016383177130869e+00,2.057571793025754658e+00,0.000000000000000000e+00
4.553418304030799391e+00,2.065522149122898554e+00,0.000000000000000000e+00
4.549806354382638141e+00,2.073466213281365711e+00,0.000000000000000000e+00
4.546180545235272596e+00,2.081403961302159100e+00,0.000000000000000000e+00
4.542540887633545132e+00,2.089335369005521414e+00,0.000000000000000000e+00
4.538887392664486597e+00,2.097260412231009674e+00,0.000000000000000000e+00
4.535220071457272795e+00,2.105179066837566726e+00,0.000000000000000000e+00
4.531538935183203165e+00,2.113091308703597626e+00,0.000000000000000000e+00
4.527843995055656379e+00,2.120997113727041139e+00,0.000000000000000000e+00
4.524135262330059248e+00,2.128896457825444344e+00,0.000000000000000000e+00
4.520412748303857420e+00,2.136789316936035021e+00,0.000000000000000000e+00
4.516676464316472739e+00,2.144675667015794929e+00,0.000000000000000000e+00
4.512926421749274830e+00,2.152555484041534850e+00,0.000000000000000000e+00
4.509162632025543793e+00,2.160428744009964319e+00,0.000000000000000000e+00
4.505385106610434676e+00,2.168295422937769334e+00,0.000000000000000000e+00
4.501593857010946387e+00,2.176155496861680749e+00,0.000000000000000000e+00
4.497788894775882618e+00,2.184008941838549767e+00,0.000000000000000000e+00
4.493970231495818091e+00,2.191855733945422102e+00,0.000000000000000000e+00
4.490137878803063032e+00,2.199695849279606819e+00,0.000000000000000000e+00
4.486291848371627644e+00,2.207529263958754484e+00,0.000000000000000000e+00
4.482432151917190133e+00,2.215355954120923787e+00,0.000000000000000000e+00
4.478558801197053185e+00,2.223175895924660139e+00,0.000000000000000000e+00
4.474671808010114660e+00,2.230989065549064509e+00,0.000000000000000000e+00
4.470771184196832060e+00,2.238795439193867143e+00,0.000000000000000000e+00
4.466856941639179013e+00,2.246594993079499947e+00,0.000000000000000000e+00
4.462929092260619512e+00,2.254387703447168878e+00,0.000000000000000000e+00
4.458987648026063511e+00,2.262173546558927217e+00,0.000000000000000000e+00
4.455032620941833166e+00,2.269952498697746623e+00,0.000000000000000000e+00
4.451064023055627317e+00,2.277724536167589076e+00,0.000000000000000000e+00
4.447081866456482402e+00,2.285489635293481037e+00,0.000000000000000000e+00
4.443086163274739597e+00,2.293247772421584063e+00,0.000000000000000000e+00
4.439076925682002184e+00,2.300998923919266748e+00,0.000000000000000000e+00
4.435054165891104461e+00,2.308743066175177105e+00,0.000000000000000000e+00
4.431017896156070002e+00,2.316480175599315405e+00,0.000000000000000000e+00
4.426968128772076128e+00,2.324210228623104335e+00,0.000000000000000000e+00
4.422904876075416603e+00,2.331933201699461833e+00,0.000000000000000000e+00
4.418828150443464331e+00,2.339649071302872141e+00,0.000000000000000000e+00
4.414737964294632278e+00,2.347357813929458636e+00,0.000000000000000000e+00
4.410634330088337052e+00,2.355059406097054442e+00,0.000000000000000000e+00
4.406517260324958940e+00,2.362753824345273479e+00,0.000000000000000000e+00
4.402386767545808155e+00,2.370441045235584632e+00,0.000000000000000000e+00
4.398242864333080426e+00,2.378121045351379248e+00,0.000000000000000000e+00
4.394085563309825027e+00,2.385793801298045302e+00,0.000000000000000000e+00
4.389914877139901250e+00,2.393459289703036674e+00,0.000000000000000000e+00
4.385730818527942887e+00,2.401117487215947310e+00,0.000000000000000000e+00
4.381533400219316476e+00,2.408768370508578727e+00,0.000000000000000000e+00
4.377322635000087558e+00,2.416411916275014615e+00,0.000000000000000000e+00
4.373098535696977152e+00,2.424048101231687902e+00,0.000000000000000000e+00
4.368861115177324450e+00,2.431676902117454908e+00,0.000000000000000000e+00
4.364610386349046856e+00,2.439298295693665963e+00,0.000000000000000000e+00
4.360346362160601785e+00,2.446912258744233792e+00,0.000000000000000000e+00
4.356069055600945816e+00,2.454518768075706792e+00,0.000000000000000000e+00
4.351778479699496494e+00,2.462117800517338306e+00,0.000000000000000000e+00
4.347474647526093250e+00,2.469709332921157685e+00,0.000000000000000000e+00
4.343157572190954774e+00,2.477293342162040446e+00,0.000000000000000000e+00
4.338827266844640818e+00,2.484869805137779331e+00,0.000000000000000000e+00
4.334483744678012229e+00,2.492438698769154470e+00,0.000000000000000000e+00
4.330127018922191873e+00,2.500000000000002665e+00,0.000000000000000000e+00
4.325757102848521107e+00,2.507553685797289766e+00,0.000000000000000000e+00
4.321374009768522484e+00,2.515099733151177741e+00,0.000000000000000000e+00
4.316977753033856224e+00,2.522638119075098828e+00,0.000000000000000000e+00
4.312568346036285583e+00,2.530168820605822155e+00,0.000000000000000000e+00
4.308145802207627106e+00,2.537691814803523904e+00,0.000000000000000000e+00
4.303710135019716887e+00,2.545207078751859253e+00,0.000000000000000000e+00
4.299261357984366150e+00,2.552714589558031655e+00,0.000000000000000000e+00
4.294799484653320398e+00,2.560214324352860338e+00,0.000000000000000000e+00
4.290324528618221223e+00,2.567706260290853582e+00,0.000000000000000000e+00
4.285836503510560114e+00,2.575190374550273553e+00,0.000000000000000000e+00
4.281335423001639384e+00,2.582666644333211803e+00,0.000000000000000000e+00
4.276821300802531312e+00,2.590135046865653656e+00,0.000000000000000000e+00
4.272294150664035506e+00,2.597595559397549714e+00,0.000000000000000000e+00
4.267753986376635389e+00,2.605048159202884683e+00,0.000000000000000000e+00
4.263200821770459115e+00,2.612492823579747103e+00,0.000000000000000000e+00
4.258634670715236048e+00,2.619929529850398175e+00,0.000000000000000000e+00
4.254055547120254133e+00,2.627358255361341932e+00,0.000000000000000000e+00
4.249463464934317258e+00,2.634778977483390960e+00,0.000000000000000000e+00
4.244858438145705293e+00,2.642191673611738345e+00,0.000000000000000000e+00
4.240240480782127896e+00,2.649596321166027391e+00,0.000000000000000000e+00
4.235609606910683667e+00,2.656992897590417346e+00,0.000000000000000000e+00
4.230965830637818392e+00,2.664381380353652684e+00,0.000000000000000000e+00
4.226309166109278870e+00,2.671761746949134597e+00,0.000000000000000000e+00
4.221639627510073822e+00,2.679133974894986281e+00,0.000000000000000000e+00
4.216957229064426826e+00,2.686498041734122211e+00,0.000000000000000000e+00
4.212261985035735457e+00,2.693853925034317864e+00,0.000000000000000000e+00
4.207553909726529540e+00,2.701201602388278111e+00,0.000000000000000000e+00
4.202833017478419642e+00,2.708541051413702050e+00,0.000000000000000000e+00
4.198099322672064204e+00,2.715872249753355838e+00,0.000000000000000000e+00
4.193352839727118031e+00,2.723195175075137975e+00,0.000000000000000000e+00
4.188593583102192319e+00,2.730509805072148133e+00,0.000000000000000000e+00
4.183821567294806698e+00,2.737816117462754217e+00,0.000000000000000000e+00
4.179036806841349261e+00,2.745114089990661643e+00,0.000000000000000000e+00
4.174239316317031268e+00,2.752403700424980837e+00,0.000000000000000000e+00
4.169429110335839184e+00,2.759684926560293405e+00,0.000000000000000000e+00
4.164606203550495600e+00,2.766957746216723191e+00,0.000000000000000000e+00
4.159770610652410383e+00,2.774222137239999331e+00,0.000000000000000000e+00
4.154922346371639819e+00,2.781478077501526869e+00,0.000000000000000000e+00
4.150061425476835097e+00,2.788725544898453812e+00,0.000000000000000000e+00
4.145187862775206789e+00,2.795964517353737300e+00,0.000000000000000000e+00
4.140301673112469771e+00,2.803194972816211550e+00,0.000000000000000000e+00
4.135402871372806821e+00,2.810416889260655804e+00,0.000000000000000000e+00
4.130491472478817094e+00,2.817630244687860497e+00,0.000000000000000000e+00
4.125567491391473496e+00,2.824835017124692982e+00,0.000000000000000000e+00
4.120630943110076494e+00,2.832031184624166809e+00,0.000000000000000000e+00
4.115681842672207935e+00,2.839218725265509224e+00,0.000000000000000000e+00
4.110720205153684859e+00,2.846397617154223791e+00,0.000000000000000000e+00
4.105746045668517752e+00,2.853567838422161440e+00,0.000000000000000000e+00
4.100759379368858148e+00,2.860729367227583975e+00,0.000000000000000000e+00
4.095760221444956883e+00,2.867882181755233795e+00,0.000000000000000000e+00
4.090748587125114355e+00,2.875026260216395624e+00,0.000000000000000000e+00
4.085724491675640557e+00,2.882161580848969340e+00,0.000000000000000000e+00
4.080687950400799124e+00,2.889288121917529928e+00,0.000000000000000000e+00
4.075638978642769139e+00,2.896405861713397201e+00,0.000000000000000000e+00
4.070577591781593618e+00,2.903514778554701525e+00,0.000000000000000000e+00
4.065503805235135992e+00,2.910614850786449992e+00,0.000000000000000000e+00
4.060417634459029479e+00,2.917706056780590806e+00,0.000000000000000000e+00
4.055319094946630898e+00,2.924788374936080348e+00,0.000000000000000000e+00
4.050208202228978038e+00,2.931861783678949784e+00,0.000000000000000000e+00
4.045084971874734592e+00,2.938926261462368572e+00,0.000000000000000000e+00
4.039949419490150184e+00,2.945981786766713295e+00,0.000000000000000000e+00
4.034801560719007085e+00,2.953028338099629835e+00,0.000000000000000000e+00
4.029641411242576687e+00,2.960065893996100428e+00,0.000000000000000000e+00
4.024468986779568880e+00,2.967094433018510280e+00,0.000000000000000000e+00
4.019284303086084087e+00,2.974113933756709738e+00,0.000000000000000000e+00
4.014087375955570636e+00,2.981124374828081791e+00,0.000000000000000000e+00
4.008878221218767912e+00,2.988125734877608686e+00,0.000000000000000000e+00
4.003656854743665505e+00,2.995117992577932320e+00,0.000000000000000000e+00
3.998423292435449916e+00,3.002101126629423522e+00,0.000000000000000000e+00
3.993177550236461926e+00,3.009075115760244667e+00,0.000000000000000000e+00
3.987919644126139751e+00,3.016039938726415404e+00,0.000000000000000000e+00
3.982649590120979077e+00,3.022995574311877487e+00,0.000000000000000000e+00
3.977367404274477103e+00,3.029942001328558288e+00,0.000000000000000000e+00
3.972073102677088130e+00,3.036879198616436959e+00,0.000000000000000000e+00
