ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,8.726646259971646002e-02,-9.794216470399355501e+00
0.000000000000000000e+00,1.658062789394612602e-01,-9.794216470399355501e+00
0.000000000000000000e+00,2.364921136452315942e-01,-9.794216470399355501e+00
0.000000000000000000e+00,3.001093648804248892e-01,-9.794216470399355501e+00
0.000000000000000000e+00,3.573648909920988936e-01,-9.794216470399355501e+00
0.000000000000000000e+00,4.088948644926054810e-01,-9.794216470399355501e+00
0.000000000000000000e+00,4.552718406430614206e-01,-9.794216470399355501e+00
0.000000000000000000e+00,4.970111191784717386e-01,-9.794216470399355501e+00
0.000000000000000000e+00,5.345764698603410192e-01,-9.794216470399355501e+00
0.000000000000000000e+00,5.683852854740233385e-01,-9.794216470399355501e+00
0.000000000000000000e+00,5.988132195263374813e-01,-9.794216470399355501e+00
0.000000000000000000e+00,6.261983601734202320e-01,-9.794216470399355501e+00
0.000000000000000000e+00,6.508449867557947188e-01,-9.794216470399355501e+00
0.000000000000000000e+00,6.730269506799315682e-01,-9.794216470399355501e+00
0.000000000000000000e+00,6.929907182116548103e-01,-9.794216470399355501e+00
0.000000000000000000e+00,7.109581089902059503e-01,-9.794216470399355501e+00
0.000000000000000000e+00,7.271287606909017098e-01,-9.794216470399355501e+00
0.000000000000000000e+00,7.416823472215281488e-01,-9.794216470399355501e+00
0.000000000000000000e+00,7.547805750990916884e-01,-9.794216470399355501e+00
0.000000000000000000e+00,7.665689801888990740e-01,-9.794216470399355501e+00
0.000000000000000000e+00,7.771785447697255877e-01,-9.794216470399355501e+00
0.000000000000000000e+00,7.867271528924695279e-01,-9.794216470399355501e+00
0.000000000000000000e+00,7.953209002029391073e-01,-9.794216470399355501e+00
0.000000000000000000e+00,8.030552727823615511e-01,-9.794216470399355501e+00
0.000000000000000000e+00,8.100162081038418949e-01,-9.794216470399355501e+00
0.000000000000000000e+00,8.162810498931740710e-01,-9.794216470399355501e+00
0.000000000000000000e+00,8.219194075035731739e-01,-9.794216470399355501e+00
0.000000000000000000e+00,8.269939293529324775e-01,-9.794216470399355501e+00
