ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
6.000626578748220474e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.100563920873398160e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.200507528786059375e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.300456775907453455e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400411098316708625e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.500369988485037887e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600332989636534364e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.700299690672880892e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800269721605593176e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.900242749445034462e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000218474500530697e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.100196627050478604e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.200176964345430974e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.300159267910888872e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.400143341119799878e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500129007007820370e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600116106307037711e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.700104495676334260e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.800094046108701384e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.900084641497830518e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000076177348047324e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.100068559613241348e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.200061703651918776e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.300055533286727183e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.400049979958053470e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.500044981962247448e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.600040483766022703e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.700036435389421285e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800032791850478375e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.900029512665430076e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000026561398886571e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.100023905258998624e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.200021514733098371e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.300019363259787397e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.400017426933809261e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.500015684240429081e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.600014115816383864e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.700012704234746153e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.800011433811270933e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.900010290430142135e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000926138712742e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.010000833524841646e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.020000750172357407e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.030000675155121748e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.040000607639609598e+01,0.000000000000000000e+00,0.000000000000000000e+00
