q0 (),q1,q2,q3
9.967788633987640923e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.019911147555233710e-02
9.967084984568741479e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.106891576827271462e-02
9.966373743569242327e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.193866019734492856e-02
9.965654911637249480e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.280834391293916130e-02
9.964928489417473889e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.367796608402841563e-02
9.964194477552004159e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.454752589651279293e-02
9.963452876681011539e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.541702255153134360e-02
9.962703687443401623e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.628645526394303211e-02
9.961946910477411654e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.715582326095949739e-02
9.961182546421153416e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.802512578091477302e-02
9.960410595913122833e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.889436207215808960e-02
9.959631059592655156e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.976353139205746345e-02
9.958843938100351290e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.063263300610309436e-02
9.958049232078461932e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.150166618710038613e-02
9.957246942171247284e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.237063021444381905e-02
9.956437069025295683e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.323952437346354205e-02
9.955619613289828918e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.410834795483731530e-02
9.954794575616967567e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.497710025406137790e-02
9.953961956661984134e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.584578057097424553e-02
9.953121757083529531e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.671438820932830305e-02
9.952273977543846240e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.758292247640415473e-02
9.951418618708951502e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.845138268266379056e-02
9.950555681248816065e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.931976814143829435e-02
9.949685165837525158e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.001880781686470823e-01
9.948807073153420610e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.010563120825449940e-01
9.947921403879232960e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.019244692034950578e-01
9.947028158702209133e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.027925488537637516e-01
9.946127338314214583e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.036605503573369835e-01
9.945218943411840984e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.045284730397544604e-01
9.944302974696495045e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.053963162279606958e-01
9.943379432874486223e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.062640792501709369e-01
9.942448318657097772e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.071317614357506498e-01
9.941509632760660020e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.079993621151069810e-01
9.940563375906616983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.088668806195912664e-01
9.939609548821579654e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.097343162814111983e-01
9.938648152237378186e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.106016684335520139e-01
9.937679186891117400e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.114689364097053853e-01
9.936702653525212314e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.123361195442057203e-01
9.935718552887431443e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.132032171719727087e-01
9.934726885730935653e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.140702286284597522e-01
9.933727652814305920e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.149371532496075432e-01
9.932720854901578855e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.158039903718024594e-01
9.931706492762268912e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.166707393318389963e-01
9.930684567171397248e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.175373994668861277e-01
9.929655078909512822e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.184039701144571355e-01
9.928618028762710157e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.192704506123822977e-01
9.927573417522653765e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.201368402987846029e-01
9.926521245986590358e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.210031385120577535e-01
9.925461514957364395e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.218693445908465567e-01
9.924394225243434731e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.227354578740292579e-01
9.923319377658883500e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.236014777007016646e-01
9.922236973023430551e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.244674034101630328e-01
9.921147012162442325e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.253332343419032435e-01
9.920049495906940740e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.261989698355914236e-01
9.918944425093612072e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.270646092310658004e-01
9.917831800564815836e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.279301518683245154e-01
9.916711623168589229e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.287955970875173661e-01
9.915583893758652678e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.296609442289386738e-01
9.914448613194419835e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.305261926330205380e-01
9.913305782340998684e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.313913416403272583e-01
9.912155402069195986e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.322563905915499216e-01
9.910997473255521717e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.331213388275019338e-01
9.909831996782195729e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.339861856891148284e-01
9.908658973537145531e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.348509305174346584e-01
9.907478404414012951e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.357155726536187212e-01
9.906290290312154134e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.365801114389328108e-01
9.905094632136645094e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.374445462147485530e-01
9.903891430798279494e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.383088763225412410e-01
9.902680687213574195e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.391731011038879195e-01
9.901462402304765931e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.400372199004656648e-01
9.900236576999817961e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.409012320540500851e-01
9.899003212232417859e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.417651369065140998e-01
9.897762308941979725e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.426289337998266904e-01
9.896513868073641973e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.434926220760521232e-01
9.895257890578273985e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.443562010773490611e-01
9.893994377412470564e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.452196701459698980e-01
9.892723329538553045e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.460830286242602027e-01
9.891444747924574843e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.469462758546583037e-01
9.890158633544317013e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.478094111796949550e-01
9.888864987377286031e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.486724339419930041e-01
9.887563810408720455e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.495353434842671969e-01
9.886255103629586483e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.503981391493241504e-01
9.884938868036577952e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.512608202800621859e-01
9.883615104632118564e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.521233862194714126e-01
9.882283814424356327e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.529858363106337271e-01
9.880944998427170223e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.538481698967228695e-01
9.879598657660165761e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.547103863210047003e-01
9.878244793148674985e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.555724849268372012e-01
9.876883405923755355e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.564344650576706963e-01
9.875514497022191973e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.572963260570482968e-01
9.874138067486494252e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.581580672686059008e-01
9.872754118364895914e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.590196880360724985e-01
9.871362650711357212e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.598811877032707274e-01
9.869963665585559376e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.607425656141169279e-01
9.868557164052907948e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.616038211126215596e-01
9.867143147184531671e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.624649535428896452e-01
9.865721616057280263e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.633259622491210483e-01
9.864292571753723315e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.641868465756108619e-01
9.862856015362152506e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.650476058667498802e-01
9.861411947976579384e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.659082394670249316e-01
9.859960370696733145e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.667687467210193231e-01
9.858501284628060635e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.676291269734132561e-01
9.857034690881729677e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.684893795689842155e-01
9.855560590574620194e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.693495038526075247e-01
9.854078984829331977e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.702094991692566783e-01
9.852589874774176915e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.710693648640038700e-01
9.851093261543182322e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.719291002820202974e-01
9.849589146276089835e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.727887047685768285e-01
9.848077530118353184e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.736481776690443624e-01
9.846558414221135980e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.745075183288943010e-01
9.845031799741317258e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.753667260936989380e-01
9.843497687841481492e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.762258003091320691e-01
9.841956079689925252e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.770847403209694360e-01
9.840406976460652766e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.779435454750890599e-01
9.838850379333377028e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.788022151174720187e-01
9.837286289493514246e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.796607485942025573e-01
9.835714708132190509e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.805191452514688377e-01
9.834135636446235118e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.813774044355633552e-01
9.832549075638181701e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.822355254928834101e-01
9.830955026916265993e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.830935077699315239e-01
9.829353491494426942e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.839513506133160781e-01
9.827744470592305603e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.848090533697517024e-01
9.826127965435240696e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.856666153860597468e-01
9.824503977254273046e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.865240360091688643e-01
9.822872507286141142e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.873813145861153995e-01
9.821233556773282247e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.882384504640438883e-01
9.819587126963826851e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.890954429902076961e-01
9.817933219111606435e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.899522915119693511e-01
9.816271834476141267e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.908089953768010161e-01
9.814602974322651496e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.916655539322851820e-01
9.812926639922044947e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.925219665261149182e-01
9.811242832550924886e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.933782325060945106e-01
9.809551553491583364e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.942343512201399613e-01
9.807852804032003435e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.950903220162794327e-01
9.806146585465858045e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.959461442426537192e-01
9.804432899092506704e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.968018172475168026e-01
9.802711746216996591e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.976573403792362960e-01
9.800983128150059231e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.985127129862939988e-01
9.799247046208114931e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.993679344172863688e-01
9.797503501713263896e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.002230040209249107e-01
9.795752495993292897e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.010779211460368698e-01
9.793994030381667493e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.019326851415655655e-01
9.792228106217536476e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.027872953565709457e-01
9.790454724845728540e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.036417511402300873e-01
9.788673887616751168e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.044960518418376672e-01
9.786885595886788414e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.053501968108065179e-01
9.785089851017703122e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.062041853966679605e-01
9.783286654377032487e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.070580169490725542e-01
9.781476007337990275e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.079116908177903733e-01
9.779657911279462379e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.087652063527115909e-01
9.777832367586007933e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.096185629038469500e-01
9.775999377647858202e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.104717598213282637e-01
9.774158942860914356e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.113247964554090252e-01
9.772311064626748589e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.121776721564646029e-01
9.770455744352600780e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.130303862749930444e-01
9.768592983451376277e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.138829381616154934e-01
9.766722783341649228e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.147353271670765229e-01
9.764845145447660357e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.155875526422448563e-01
9.762960071199309198e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.164396139381136730e-01
9.761067562032165190e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.172915104058012470e-01
9.759167619387454362e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.181432413965513073e-01
9.757260244712065989e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.189948062617336766e-01
9.755345439458550372e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.198462043528446319e-01
9.753423205085112180e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.206974350215074876e-01
9.751493543055619329e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.215484976194730393e-01
9.749556454839591879e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.223993914986201192e-01
9.747611941912206479e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.232501160109560123e-01
9.745660005754296362e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.241006705086169837e-01
9.743700647852343577e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.249510543438687782e-01
9.741733869698485648e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.258012668691071201e-01
9.739759672790508915e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.266513074368581293e-01
9.737778058631850753e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.275011753997789876e-01
9.735789028731597350e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.283508701106582439e-01
9.733792584604479270e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.292003909224164249e-01
9.731788727770877001e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.300497371881064512e-01
9.729777459756815405e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.308989082609142207e-01
9.727758782093961498e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.317479034941589966e-01
9.725732696319626669e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.325967222412939628e-01
9.723699203976762240e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.334453638559067790e-01
9.721658306613962797e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.342938276917198581e-01
9.719610005785459528e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.351421131025911437e-01
9.717554303051122444e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.359902194425143596e-01
9.715491199976459269e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.368381460656195925e-01
9.713420698132612108e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.376858923261739309e-01
9.711342799096358558e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.385334575785816313e-01
9.709257504450109488e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.393808411773849232e-01
9.707164815781905709e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.402280424772643419e-01
9.705064734685423522e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.410750608330392286e-01
9.702957262759963619e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.419218955996682296e-01
