gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
9.999999999999998473e-03,9.999999999999998473e-03,9.999999999999998473e-03
